"Product URL","Product Name","Product Price","Product Rating","Number Of Reviews"
"https://aax-eu.amazon.in/x/c/RHlxxeWb4Akhgg-vAmhoLKcAAAGG_5zw0wMAAAH2AQBvbm9fdHhuX2JpZDIgICBOL0EgICAgICAgICAgICCvMCYK/https://www.amazon.in/HSA/pages/default/?_encoding=UTF8&pageId=63581924-004A-4458-A5E5-80E00DBF8431&store_ref=SB_A0170529362L71KIALO1D&pd_rd_plhdr=t&aaxitk=daac8aa03f27e769303a83c0576411c1&hsa_cr_id=7404041550902&lp_asins=B01N6XGKFU%2CB01NAZVN8M%2CB0719S1TJZ&lp_query=bags&lp_slot=auto-sparkle-hsa-tetris&ref_=sbx_be_s_sparkle_td_bkgd&pd_rd_w=pgFIA&content-id=amzn1.sym.8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5%3Aamzn1.sym.8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5&pf_rd_p=8a1dccd3-4f75-45bf-a5e9-1ba7bf6c25a5&pf_rd_r=45ZC3DJSV3A7GV03QP8P&pd_rd_wg=siRRC&pd_rd_r=39a87b21-7a95-4be5-8df8-9624d8aef3b5","Disposal bags for sanitary pad/tampon/baby diapers","₹225.00","4.5 out of 5 stars.",""
"","","","",""
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjkwMDI1OTgzNjc2OTM3OjE2NzkzMjU3MjA6c3BfYXRmX25leHQ6MjAxMTc3OTU4NzY5OTg6OjA6Og&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Modern-Love%2Fdp%2FB08T1769X9%2Fref%3Dsr_1_305_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325720%26sprefix%3Dba%252Caps%25252%26sr%3D8-305-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)","₹4,499","4.3 out of 5 stars","(152)"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjkwMDI1OTgzNjc2OTM3OjE2NzkzMjU3MjA6c3BfYXRmX25leHQ6MjAxMDU3MTU4MjE1OTg6OjA6Og&url=%2Fuppercase-Professional-resistant-sustainable-Anti-theft%2Fdp%2FB0BR1C59R8%2Fref%3Dsr_1_306_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325720%26sprefix%3Dba%252Caps%25252%26sr%3D8-306-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1","uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty","₹1,900","4.9 out of 5 stars","(23)"
"https://www.amazon.in/Gear-Executive-Anti-Theft-Backpack-BKPPKREXE0101/dp/B097KCMQKG/ref=sr_1_307?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325720&sprefix=ba%2Caps%252&sr=8-307","Gear Parker 23L Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women - Black","₹702","4.3 out of 5 stars","(324)"
"https://www.amazon.in/Purple-Tree-Multifunction-Waterproof-Compartment/dp/B0BKSXQBXX/ref=sr_1_308?crid=2M096C6104MLT&gid=1653308124&keywords=bags&qid=1679325720&sprefix=ba%2Caps%252&sr=8-308","The Purple Tree Multifunction Waterproof Laptop Travel Backpack with Shoe Compartment, Shoulder Bag, 35 L Laptop Backpack with USB Charging, Flight Cabin Backpack, Antitheft Zipper Bag","₹2,499","3.7 out of 5 stars","(14)"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjkwMDI1OTgzNjc2OTM3OjE2NzkzMjU3MjA6c3BfbXRmOjIwMTA1NDUxODUxNTk4OjowOjo&url=%2Fuppercase-Professional-Backpack-resistant-sustainable%2Fdp%2FB0BR1D4SL1%2Fref%3Dsr_1_309_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325720%26sprefix%3Dba%252Caps%25252%26sr%3D8-309-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1","uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹1,800","4.9 out of 5 stars","(17)"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjkwMDI1OTgzNjc2OTM3OjE2NzkzMjU3MjA6c3BfbXRmOjIwMTIxOTcyMjYwNDk4OjowOjo&url=%2FEUME-Propine-Massager-Backpack-Charging%2Fdp%2FB07XG935R9%2Fref%3Dsr_1_310_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325720%26sprefix%3Dba%252Caps%25252%26sr%3D8-310-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DAPBFC7AMQ4Q38","EUME Propine Laptop Backpack | Built-in Massager, Water Resistant & Anti-Theft | Fits Up-to 15.6"" MacBook (Melange, 22L)","₹3,499","4.1 out of 5 stars","(45)"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjkwMDI1OTgzNjc2OTM3OjE2NzkzMjU3MjA6c3BfYnRmOjIwMTEyMDk2MzE3NTk4OjowOjo&url=%2Fuppercase-Professional-Anti-theft-resistant-sustainable%2Fdp%2FB0BSH4H4DB%2Fref%3Dsr_1_311_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325720%26sprefix%3Dba%252Caps%25252%26sr%3D8-311-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","₹2,300","4.2 out of 5 stars","(12)"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjkwMDI1OTgzNjc2OTM3OjE2NzkzMjU3MjA6c3BfYnRmOjIwMDMyNTY1MDQ2ODk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Computer-17-3-inch%2Fdp%2FB083N3DCTM%2Fref%3Dsr_1_312_sspa%3Fcrid%3D2M096C6104MLT%26gid%3D1653308124%26keywords%3Dbags%26qid%3D1679325720%26sprefix%3Dba%252Caps%25252%26sr%3D8-312-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1","HEROZ Hacker 50 litres Nylon Travel Laptop Backpack Water Resistant Slim Durable Computer Book Bag Tracking Fits Up to 17.3-inch Laptop (058- ALL) (Navy Blue)","₹1,439","4.1 out of 5 stars","(3,717)"
